Time,X,Y,Z,Target_X,Target_Y,Target_Z
0.0,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.013,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.026,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.038,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.04,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.05,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.06,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.071,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.08,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.09,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.107,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.11,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.122,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.13,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.147,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.157,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.871,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.88,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.89,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.9,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.913,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.921,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.939,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.94,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.956,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.96,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.97,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.98,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
0.991,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.0,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.01,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.021,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.03,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.044,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.05,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.068,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.07,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.08,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.091,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.105,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.11,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.121,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.13,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.143,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.152,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.163,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.17,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.18,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.198,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.2,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.21,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.23,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.23,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.245,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.251,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.26,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.271,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.28,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.294,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.301,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.31,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.326,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.335,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.343,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.357,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.36,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
1.378,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726,4.189035346681837e-10,-9.127324759485395e-08,0.0749922448887726
